Bacteroides vulgatus	3437
Bacteroides massiliensis	1819
Bacteroides stercoris	1814
Faecalibacterium prausnitzii	1501
Bacteroides acidifaciens	1037
Blautia sp. Ser8	728
Eubacterium rectale	413
Bacteroides uniformis	403
Bacteroides thetaiotaomicron	379
Clostridium polysaccharolyticum	332
Clostridium cocleatum	230
butyrate-producing bacterium SSC/2	189
Bacteroides ovatus	160
Bacteroides caccae	158
Parabacteroides merdae	153
Butyrivibrio fibrisolvens	151
uncultured bacterium	132
Clostridium clostridioforme	109
Parabacteroides distasonis	86
Oribacterium sp. oral taxon 078	81
Bifidobacterium breve	74
Alistipes finegoldii	71
butyrate-producing bacterium A2-232	53
Ruminococcus gnavus	52
Ruminococcus bromii	42
Ureibacillus thermosphaericus	41
Clostridium scindens	40
Sarcina ventriculi	39
Lachnospiraceae bacterium A4	28
butyrate-producing bacterium SM4/1	25
Acidaminococcus fermentans	23
Clostridium lituseburense	23
Clostridium spiroforme	21
butyrate-producing bacterium SS3/4	19
Eubacterium limosum	13
Eubacterium oxidoreducens	13
Bacteroides xylanisolvens	9
Veillonella ratti	9
Eubacterium cellulosolvens	7
Bacteroides sp.	6
Clostridium sordellii	5
Collinsella aerofaciens	5
Bacteroides cellulosolvens	4
Bifidobacterium catenulatum	4
Bacteroides salyersiae	4
Clostridium chauvoei	3
Clostridium septicum	3
Prevotella copri	2
Eggerthella lenta	2
Streptococcus phocae	2
Bacteroides coprosuis	2
Parabacteroides gordonii	1
Pasteurella multocida	1
Parabacteroides johnsonii	1
Enterococcus faecalis	1
Veillonella atypica	1
Megasphaera elsdenii	1
Actinobacillus rossii	1
Clostridium paraputrificum	1
Anaerobranca gottschalkii	1
Ethanoligenens harbinense	1
