Prevotella copri	7129
Prevotella loescheii	4704
uncultured bacterium	2182
Faecalibacterium prausnitzii	1284
Prevotella ruminicola	681
butyrate-producing bacterium ART55/1	609
Lachnospiraceae bacterium A4	442
Eubacterium rectale	417
Blautia sp. Ser8	250
Bacteroides cellulosolvens	241
Butyrivibrio fibrisolvens	203
Lactobacillus vitulinus	187
Clostridium polysaccharolyticum	174
Ruminococcus albus	168
Paraprevotella clara	125
Bacteroides xylanisolvens	121
Dialister pneumosintes	118
Bifidobacterium adolescentis	96
Ruminococcus flavefaciens	92
Eubacterium ruminantium	90
Prevotella albensis	89
Bacteroides ovatus	81
Alistipes finegoldii	76
Megasphaera elsdenii	70
Clostridium scindens	69
Bacteroides vulgatus	68
butyrate-producing bacterium A2-232	68
Clostridium glycolicum	65
Selenomonas ruminantium	64
butyrate-producing bacterium SM4/1	61
Pasteurella multocida	52
Butyricimonas virosa	49
Clostridium hathewayi	42
Ruminococcus bromii	36
Eubacterium limosum	35
Eubacterium cellulosolvens	34
Bacteroides plebeius	33
Bacteroides stercoris	32
Eubacterium acidaminophilum	32
Ethanoligenens harbinense	29
Anaerobranca gottschalkii	22
Bacteroides caccae	22
Eubacterium oxidoreducens	21
Dialister invisus	20
Clostridium thermocellum	20
Bacteroides thetaiotaomicron	20
Barnesiella intestinihominis	15
Bifidobacterium breve	12
Parabacteroides merdae	12
Ruminococcus callidus	12
Clostridium lituseburense	12
Mitsuokella multacida	11
butyrate-producing bacterium SS3/4	11
Collinsella aerofaciens	10
Clostridium perfringens	9
Bacteroides helcogenes	9
Methanobrevibacter smithii	8
Clostridium tertium	8
butyrate-producing bacterium SSC/2	7
Eubacterium saburreum	6
Clostridium sphenoides	6
Barnesiella viscericola	5
Veillonella atypica	5
Bacteroides uniformis	4
uncultured gamma proteobacterium	4
Bacteroides acidifaciens	4
Hespellia stercorisuis	3
Alkaliphilus transvaalensis	3
Sarcina ventriculi	3
Veillonella dispar	3
Prevotella salivae	3
Clostridium spiroforme	2
Bifidobacterium catenulatum	2
Prevotella nigrescens	2
Clostridium xylanolyticum	2
Clostridium cocleatum	2
Clostridium bifermentans	2
Proteus penneri	2
Porphyromonas crevioricanis	2
Megamonas hypermegale	2
Haemophilus parahaemolyticus	1
Streptococcus suis	1
Enterococcus durans	1
Clostridium sordellii	1
Salmonella enterica	1
Parabacteroides johnsonii	1
Leuconostoc fallax	1
Hespellia porcina	1
Clostridium hylemonae	1
Weissella cibaria	1
Thermaerobacter marianensis	1
Clostridium difficile	1
Dialister micraerophilus	1
Clostridium cylindrosporum	1
Erwinia amylovora	1
Clostridium clostridioforme	1
Porphyromonas catoniae	1
Clostridium bolteae	1
Clostridium chauvoei	1
Oribacterium sp. oral taxon 078	1
Veillonella ratti	1
