Prevotella copri	6960
Faecalibacterium prausnitzii	1977
Prevotella albensis	1844
Prevotella ruminicola	566
Bifidobacterium adolescentis	522
Lactobacillus vitulinus	441
Eubacterium rectale	423
Megasphaera elsdenii	409
butyrate-producing bacterium ART55/1	347
Lachnospiraceae bacterium A4	277
Dialister pneumosintes	252
uncultured bacterium	223
Blautia sp. Ser8	165
Prevotella loescheii	144
Eubacterium cellulosolvens	141
Bacteroides cellulosolvens	136
Clostridium scindens	120
Bacteroides vulgatus	114
Selenomonas ruminantium	104
Clostridium polysaccharolyticum	99
Butyrivibrio fibrisolvens	97
Alistipes finegoldii	95
Bacteroides ovatus	91
Mitsuokella multacida	86
Eubacterium ruminantium	85
Bifidobacterium breve	74
butyrate-producing bacterium SM4/1	70
Ruminococcus flavefaciens	67
Ruminococcus albus	63
butyrate-producing bacterium A2-232	62
Bacteroides thetaiotaomicron	62
Prevotella shahii	57
Bacteroides stercoris	54
Prevotella salivae	54
Eubacterium limosum	53
Veillonella ratti	51
Barnesiella intestinihominis	48
Clostridium glycolicum	44
Paraprevotella clara	43
Bacteroides plebeius	43
Butyricimonas virosa	39
Clostridium tertium	39
Sarcina ventriculi	37
Dialister invisus	32
Bifidobacterium merycicum	32
Bacteroides xylanisolvens	30
Bacteroides uniformis	28
Hespellia porcina	28
butyrate-producing bacterium SS3/4	27
Collinsella aerofaciens	26
Eubacterium acidaminophilum	26
Clostridium difficile	23
butyrate-producing bacterium SSC/2	22
Clostridium thermocellum	19
Ruminococcus callidus	19
Clostridium hathewayi	19
Parabacteroides johnsonii	14
Clostridium lituseburense	13
Ethanoligenens harbinense	11
Ruminococcus bromii	11
Bacteroides acidifaciens	11
Dialister micraerophilus	8
Eubacterium oxidoreducens	7
Clostridium xylanolyticum	7
Eubacterium saburreum	7
Clostridium chauvoei	7
Clostridium perfringens	6
Hespellia stercorisuis	6
Methanobrevibacter smithii	6
Oribacterium sp. oral taxon 078	6
Clostridium sphenoides	6
Prevotella nanceiensis	5
Pasteurella multocida	4
Bifidobacterium bifidum	4
Bacteroides caccae	4
Porphyromonas crevioricanis	4
rumen bacterium NK3B85	4
Prevotella bryantii	3
Acetivibrio cellulolyticus	3
Tissierella sp. LBN 291	3
Bacteroides salanitronis	3
Thermaerobacter marianensis	3
Parabacteroides merdae	3
Clostridium clostridioforme	3
Lactobacillus sp.	3
Bacteroides intestinalis	3
Pseudobutyrivibrio xylanivorans	3
Ruminococcus gnavus	3
Bacteroides barnesiae	3
Bacteroides tectus	2
Clostridium tyrobutyricum	2
Prevotella brevis	2
Bifidobacterium catenulatum	2
Parabacteroides distasonis	2
Alkaliphilus transvaalensis	2
Prevotella bivia	2
Actinobacillus succinogenes	2
Caloramator fervidus	2
Anaerobranca gottschalkii	2
Clostridium sordellii	1
Clostridium botulinum	1
Bacteroides helcogenes	1
Clostridium hylemonae	1
unidentified	1
Clostridium subterminale	1
Lactobacillus murinus	1
Daucus carota	1
Veillonella atypica	1
Fusibacter paucivorans	1
Bacteroides sp.	1
Streptococcus infantarius	1
Lachnospiraceae bacterium 14-2	1
Clostridium sartagoforme	1
Clostridium septicum	1
Veillonella dispar	1
Akkermansia muciniphila	1
Megamonas hypermegale	1
Tetragenococcus halophilus	1
