Bacteroides vulgatus	6057
uncultured bacterium	2508
Bacteroides ovatus	1028
Bacteroides uniformis	947
Akkermansia muciniphila	897
Faecalibacterium prausnitzii	612
Eubacterium rectale	587
Bacteroides thetaiotaomicron	554
Barnesiella intestinihominis	553
Parabacteroides distasonis	546
Bacteroides acidifaciens	441
Blautia sp. Ser8	312
Parabacteroides merdae	189
Dialister invisus	140
Clostridium cocleatum	133
Butyrivibrio fibrisolvens	107
Bacteroides fragilis	100
butyrate-producing bacterium SS3/4	79
Bacteroides sp.	70
Ruminococcus gnavus	55
Bifidobacterium breve	53
Clostridium bolteae	51
Eubacterium cellulosolvens	43
Lachnospiraceae bacterium A4	35
Megamonas hypermegale	28
Alistipes finegoldii	26
Clostridium scindens	20
butyrate-producing bacterium A2-232	18
butyrate-producing bacterium SM4/1	16
Collinsella aerofaciens	12
Dialister micraerophilus	9
Eubacterium limosum	9
Bacteroides xylanisolvens	7
Ruminococcus bromii	7
Anaerostipes caccae	7
Clostridium indolis	7
Eubacterium saburreum	5
Clostridium polysaccharolyticum	5
Eggerthella lenta	5
Selenomonas ruminantium	5
Clostridium sphenoides	4
Clostridium xylanolyticum	4
Hespellia stercorisuis	3
Bacteroides caccae	2
Clostridium spiroforme	2
Bacteroides cellulosolvens	2
Streptococcus phocae	2
Veillonella atypica	2
butyrate-producing bacterium ART55/1	1
Eubacterium acidaminophilum	1
Prevotella stercorea	1
uncultured delta proteobacterium	1
Clostridium aminophilum	1
Oribacterium sp. oral taxon 078	1
Bacteroides massiliensis	1
Tsukamurella paurometabola	1
Fusobacterium necrophorum	1
Ruminococcus flavefaciens	1
Clostridium hylemonae	1
Clostridium sordellii	1
Clostridium hathewayi	1
Laceyella sacchari	1
Bacteroides gallinarum	1
