Prevotella copri	6977
Prevotella loescheii	3715
Faecalibacterium prausnitzii	1280
Megasphaera elsdenii	1019
Eubacterium rectale	819
Bifidobacterium breve	754
uncultured bacterium	754
Prevotella ruminicola	578
butyrate-producing bacterium ART55/1	492
Ruminococcus flavefaciens	427
Bifidobacterium adolescentis	326
Lactobacillus vitulinus	307
Lachnospiraceae bacterium A4	284
Selenomonas ruminantium	274
Dialister pneumosintes	261
Bacteroides cellulosolvens	241
Blautia sp. Ser8	190
Prevotella salivae	183
Prevotella brevis	146
Bacteroides clarus	139
Bacteroides ovatus	131
Clostridium polysaccharolyticum	130
butyrate-producing bacterium SM4/1	126
Clostridium scindens	117
Butyrivibrio fibrisolvens	116
Eubacterium limosum	95
Clostridium thermocellum	91
Bacteroides vulgatus	87
Lactobacillus ruminis	87
Alistipes finegoldii	83
Ruminococcus albus	80
Mitsuokella multacida	77
Bacteroides xylanisolvens	73
butyrate-producing bacterium A2-232	55
Eubacterium cellulosolvens	54
butyrate-producing bacterium SS3/4	54
Bacteroides uniformis	53
Ruminococcus callidus	48
Paraprevotella clara	44
Clostridium hathewayi	41
Bacteroides stercoris	41
Veillonella atypica	40
Prevotella albensis	40
Barnesiella intestinihominis	39
Ruminococcus bromii	38
Butyricimonas virosa	31
Bacteroides acidifaciens	31
Bacteroides thetaiotaomicron	30
Dialister invisus	29
Eubacterium ruminantium	28
Bifidobacterium merycicum	27
Lactobacillus sp.	26
Bacteroides barnesiae	23
Ruminococcus gnavus	18
Veillonella ratti	17
Anaerobranca gottschalkii	13
Collinsella aerofaciens	13
Ethanoligenens harbinense	13
Pseudobutyrivibrio xylanivorans	11
Bacteroides plebeius	10
Eubacterium saburreum	10
Tatumella ptyseos	8
Caloramator fervidus	8
Eubacterium acidaminophilum	8
Eubacterium oxidoreducens	7
butyrate-producing bacterium SSC/2	7
Clostridium tertium	6
Pasteurella multocida	5
Alkaliphilus transvaalensis	5
Clostridium cellobioparum	5
Barnesiella viscericola	5
Clostridium indolis	5
Megamonas hypermegale	5
rumen bacterium NK3B85	5
uncultured beta proteobacterium	4
Prevotella melaninogenica	4
Parabacteroides johnsonii	4
Clostridium hylemonae	4
Clostridium clostridioforme	4
Bacteroides caccae	4
Acetobacterium woodii	3
uncultured gamma proteobacterium	3
Bifidobacterium catenulatum	3
Lactococcus lactis	3
Clostridium lituseburense	3
Clostridium sordellii	2
Aeriscardovia aeriphila	2
Parabacteroides distasonis	2
Clostridium xylanolyticum	2
Weissella cibaria	2
Methanobrevibacter smithii	2
Clostridium difficile	2
Dialister micraerophilus	2
Erwinia amylovora	2
Acetobacterium carbinolicum	2
Oribacterium sp. oral taxon 078	2
Clostridium perfringens	1
Prevotella bryantii	1
Photobacterium damselae	1
Persephonella sp. EPR351	1
Corynebacterium pseudogenitalium	1
Hespellia stercorisuis	1
Streptococcus phocae	1
Equisetum arvense	1
Megasphaera micronuciformis	1
Lactobacillus salivarius	1
Bacteroides gallinarum	1
unidentified	1
Actinobacillus rossii	1
Clostridium paradoxum	1
Lactobacillus murinus	1
Bifidobacterium longum	1
Thermaerobacter marianensis	1
Prevotella buccalis	1
uncultured proteobacterium	1
Sarcina ventriculi	1
Klebsiella oxytoca	1
Bacteroides intestinalis	1
Clostridium stercorarium	1
Prevotella bergensis	1
Bifidobacterium animalis	1
Clostridium sphenoides	1
Actinomyces naeslundii	1
