Bacteroides vulgatus	8545
Faecalibacterium prausnitzii	3774
Bacteroides uniformis	1622
Alistipes finegoldii	1525
Bacteroides thetaiotaomicron	1447
Eubacterium rectale	1273
Ruminococcus albus	1104
uncultured bacterium	960
Blautia sp. Ser8	469
Bacteroides clarus	346
Ruminococcus flavefaciens	288
Bacteroides fragilis	279
butyrate-producing bacterium SSC/2	245
Ruminococcus bromii	216
Dialister pneumosintes	204
Bacteroides acidifaciens	182
Clostridium scindens	181
Parabacteroides distasonis	157
Bifidobacterium breve	132
Butyrivibrio fibrisolvens	116
Bacteroides ovatus	111
Parabacteroides johnsonii	105
Clostridium polysaccharolyticum	83
Acidaminococcus fermentans	67
Bacteroides caccae	66
butyrate-producing bacterium SM4/1	63
Ruminococcus callidus	61
Eubacterium limosum	60
Eubacterium cellulosolvens	60
Lachnospiraceae bacterium A4	60
butyrate-producing bacterium A2-232	46
Bacteroides sp.	44
Megasphaera elsdenii	44
Ruminococcus gnavus	43
Clostridium lituseburense	39
Dialister invisus	34
Anaerobranca gottschalkii	32
Bacteroides stercoris	29
Butyricimonas virosa	28
Bacteroides cellulosolvens	28
Hespellia porcina	21
Eubacterium oxidoreducens	20
Bifidobacterium adolescentis	19
Collinsella aerofaciens	15
Clostridium clostridioforme	15
Butyricimonas synergistica	14
butyrate-producing bacterium SS3/4	12
Bacteroides salyersiae	11
Eubacterium ruminantium	11
Selenomonas ruminantium	9
Veillonella ratti	8
Clostridium sphenoides	8
Ruminococcus sp. 18P13	7
Fusibacter paucivorans	7
Sarcina ventriculi	7
Bifidobacterium bifidum	6
Bacteroides gallinarum	6
Barnesiella intestinihominis	5
Lachnospiraceae bacterium 14-2	5
Clostridium hathewayi	5
Eubacterium acidaminophilum	5
Prevotella copri	4
Bacteroides xylanisolvens	4
Alkaliphilus transvaalensis	3
Bacteroides helcogenes	3
butyrate-producing bacterium ART55/1	3
Clostridium hylemonae	3
Clostridium difficile	3
uncultured delta proteobacterium	3
Dialister micraerophilus	3
Megamonas hypermegale	3
Clostridium cocleatum	2
Ethanoligenens harbinense	2
Clostridium bifermentans	2
Parabacteroides goldsteinii	2
Leuconostoc lactis	2
Clostridium stercorarium	2
Parabacteroides gordonii	1
Clostridium sordellii	1
Clostridium xylanolyticum	1
Weissella cibaria	1
Parabacteroides merdae	1
Prevotella buccalis	1
Hespellia stercorisuis	1
Eggerthella lenta	1
Pedobacter sp. MJ11	1
Geobacillus stearothermophilus	1
Lactobacillus sakei	1
Desulfovibrio vulgaris	1
Burkholderia sp. M701	1
Clostridium butyricum	1
Acetobacterium carbinolicum	1
rumen bacterium NK3B85	1
Bacteroides massiliensis	1
