Prevotella copri	69394
Prevotella loescheii	25512
Prevotella ruminicola	8244
Faecalibacterium prausnitzii	4361
Eubacterium rectale	3298
Lachnospiraceae bacterium A4	2801
Ruminococcus flavefaciens	2266
uncultured bacterium	2010
butyrate-producing bacterium ART55/1	1637
Bacteroides ovatus	1612
Selenomonas ruminantium	1214
Paraprevotella clara	1155
Alistipes finegoldii	1082
Lactobacillus vitulinus	926
Blautia sp. Ser8	919
Bacteroides vulgatus	882
Prevotella salivae	840
Butyrivibrio fibrisolvens	743
Bacteroides xylanisolvens	712
Bacteroides cellulosolvens	684
Eubacterium limosum	580
Dialister pneumosintes	557
Clostridium scindens	556
Ruminococcus albus	548
Bacteroides uniformis	427
butyrate-producing bacterium A2-232	399
Bacteroides acidifaciens	364
Barnesiella intestinihominis	361
Prevotella corporis	311
Clostridium polysaccharolyticum	303
Clostridium tertium	284
Megasphaera elsdenii	222
Bacteroides stercoris	210
Clostridium thermocellum	207
Mitsuokella multacida	187
Butyricimonas virosa	187
Prevotella albensis	186
Ruminococcus bromii	165
Bifidobacterium breve	161
butyrate-producing bacterium SM4/1	150
Eubacterium ruminantium	147
Ethanoligenens harbinense	144
Clostridium hathewayi	138
Anaerobranca gottschalkii	130
Eubacterium acidaminophilum	125
Bacteroides plebeius	119
Parabacteroides johnsonii	104
butyrate-producing bacterium SS3/4	104
Dialister invisus	99
Clostridium lituseburense	98
Clostridium cocleatum	92
Clostridium sphenoides	90
Veillonella atypica	87
Sarcina ventriculi	84
Bacteroides thetaiotaomicron	82
Eubacterium cellulosolvens	66
Caloramator fervidus	64
Bacteroides salanitronis	61
Ruminococcus callidus	58
Bacteroides caccae	57
Clostridium hylemonae	53
Parabacteroides merdae	45
Clostridium stercorarium	45
Eubacterium oxidoreducens	44
Barnesiella viscericola	42
Veillonella dispar	35
Pseudobutyrivibrio xylanivorans	33
butyrate-producing bacterium SSC/2	31
Megamonas hypermegale	31
Clostridium glycolicum	29
Parabacteroides distasonis	27
Prevotella sp. 8400706	27
Pasteurella multocida	26
Dialister micraerophilus	26
Eubacterium saburreum	24
Bacteroides gallinarum	23
Collinsella aerofaciens	23
Clostridium chauvoei	23
Veillonella criceti	21
Porphyromonas crevioricanis	21
Methanobrevibacter smithii	20
Hespellia porcina	17
Acetobacterium carbinolicum	17
Oribacterium sp. oral taxon 078	17
Hespellia stercorisuis	16
Alkaliphilus transvaalensis	16
Prevotella baroniae	13
Bacteroides suis	11
Clostridium ramosum	10
Clostridium cylindrosporum	10
Bacteroides clarus	10
Bacteroides sp.	9
Clostridium clostridioforme	9
uncultured gamma proteobacterium	8
Peptococcus niger	8
Clostridium sartagoforme	8
Prevotella buccalis	7
Clostridium difficile	7
Bifidobacterium merycicum	7
Clostridium perfringens	6
Bifidobacterium bifidum	6
Clostridium xylanolyticum	6
Clostridium spiroforme	5
Porphyromonas catoniae	5
Lactobacillus sp.	5
Clostridium botulinum	4
Bacteroides helcogenes	4
Clostridium cellobioparum	4
Tissierella sp. LBN 291	4
Ruminococcus gnavus	4
rumen bacterium NK3B85	4
Clostridium sordellii	3
Weissella cibaria	3
uncultured delta proteobacterium	3
Bacteroides intestinalis	3
Veillonella ratti	3
Clostridium septicum	3
Prevotella bergensis	3
Clostridium bifermentans	3
Lachnospiraceae bacterium 14-2	3
Clostridium sporogenes	2
Prevotella bryantii	2
Clostridium tyrobutyricum	2
Prevotella buccae	2
Bifidobacterium catenulatum	2
Prevotella nigrescens	2
Leuconostoc pseudomesenteroides	2
Rothia dentocariosa	2
Prevotella falsenii	2
Bifidobacterium thermacidophilum	2
Bifidobacterium adolescentis	2
Haemophilus parainfluenzae	2
Paraprevotella xylaniphila	2
Bacteroides barnesiae	2
Anaerostipes caccae	1
Lactobacillus ruminis	1
Clostridium intestinale	1
Actinomyces naeslundii	1
Acetobacterium woodii	1
Acetivibrio cellulolyticus	1
Histophilus somni	1
Tetragenococcus halophilus	1
Prevotella multiformis	1
Clostridium subterminale	1
Thermaerobacter marianensis	1
Haemophilus haemoglobinophilus	1
Rothia mucilaginosa	1
Bacillus circulans	1
Clostridium baratii	1
Clostridium bolteae	1
Parabacteroides goldsteinii	1
Clostridium longisporum	1
Clostridium indolis	1
Acidaminococcus fermentans	1
Paenibacillus mucilaginosus	1
