Bacteroides vulgatus	16511
Bacteroides uniformis	4261
uncultured bacterium	3642
Bacteroides ovatus	3470
Bacteroides acidifaciens	3202
Bacteroides thetaiotaomicron	3124
Dialister micraerophilus	2682
Faecalibacterium prausnitzii	2524
Butyrivibrio fibrisolvens	2336
Barnesiella intestinihominis	1787
Ruminococcus bromii	1569
Eubacterium rectale	1563
Bacteroides sp.	1474
Bacteroides gallinarum	1223
Parabacteroides merdae	1063
Blautia sp. Ser8	734
Clostridium cocleatum	442
butyrate-producing bacterium SM4/1	433
Dialister invisus	414
Alistipes finegoldii	399
Parabacteroides distasonis	364
butyrate-producing bacterium SS3/4	351
Lachnospiraceae bacterium A4	188
butyrate-producing bacterium A2-232	150
Akkermansia muciniphila	139
Eubacterium saburreum	133
Pseudobutyrivibrio xylanivorans	116
Clostridium bolteae	114
Ruminococcus gnavus	102
Clostridium chauvoei	72
Clostridium polysaccharolyticum	68
Eubacterium limosum	68
Clostridium scindens	67
Clostridium spiroforme	62
Selenomonas ruminantium	61
Megamonas hypermegale	53
butyrate-producing bacterium SSC/2	49
Bacteroides fragilis	49
Bifidobacterium breve	40
Bacteroides salyersiae	38
Hespellia stercorisuis	34
Clostridium hathewayi	26
Clostridium hylemonae	21
Veillonella atypica	19
Sarcina ventriculi	17
Clostridium indolis	14
Collinsella aerofaciens	11
Fusobacterium necrophorum	9
Clostridium lituseburense	9
Bacteroides coprosuis	8
Ruminococcus flavefaciens	7
Eubacterium cellulosolvens	5
Bacteroides xylanisolvens	5
Bacteroides stercoris	5
Sphingobacteriaceae bacterium SOC A20(36)	5
Lactobacillus sakei	5
uncultured delta proteobacterium	4
Veillonella dispar	4
Clostridium ramosum	3
Clostridium sordellii	3
Bacteroides caccae	2
Dialister propionicifaciens	2
Bacteroides cellulosolvens	2
Clostridium thermocellum	1
Weissella cibaria	1
Veillonella ratti	1
Clostridium septicum	1
Clostridium tyrobutyricum	1
Oribacterium sp. oral taxon 078	1
Bacteroides massiliensis	1
Ureibacillus thermosphaericus	1
Eubacterium oxidoreducens	1
Bacteroides intestinalis	1
Bacteroides barnesiae	1
Bacteroides nordii	1
Laceyella sacchari	1
Bifidobacterium pseudolongum	1
Sphingobacterium multivorum	1
Desulfovibrio alaskensis	1
Atopobium minutum	1
Lactobacillus kefiri	1
Bacteroides eggerthii	1
Anaerostipes caccae	1
