Bacteroides vulgatus	37085
Bacteroides ovatus	12219
Bifidobacterium breve	8396
Eubacterium rectale	6260
Blautia sp. Ser8	6180
Bacteroides caccae	5431
uncultured bacterium	3417
Faecalibacterium prausnitzii	3215
butyrate-producing bacterium SM4/1	2819
butyrate-producing bacterium SSC/2	2801
Parabacteroides merdae	2198
Bacteroides uniformis	2129
Clostridium cocleatum	1735
Clostridium polysaccharolyticum	1498
Clostridium scindens	1376
Butyrivibrio fibrisolvens	1306
Bifidobacterium adolescentis	1102
butyrate-producing bacterium A2-232	945
Bacteroides acidifaciens	898
Eubacterium limosum	864
Clostridium clostridioforme	788
Parabacteroides distasonis	705
Acidaminococcus fermentans	615
Ruminococcus gnavus	542
Clostridium spiroforme	407
Eubacterium cellulosolvens	359
Megamonas hypermegale	334
Collinsella aerofaciens	280
Clostridium sphenoides	271
butyrate-producing bacterium SS3/4	254
Alistipes finegoldii	235
Lachnospiraceae bacterium A4	215
Ureibacillus thermosphaericus	211
Clostridium bolteae	174
Clostridium chauvoei	139
Bacteroides xylanisolvens	130
Bacteroides nordii	122
Bifidobacterium catenulatum	105
Ruminococcus bromii	94
Clostridium xylanolyticum	81
Bifidobacterium bifidum	75
Streptococcus minor	75
Veillonella ratti	68
Hespellia porcina	67
Clostridium lituseburense	54
Bacteroides helcogenes	46
Streptococcus suis	42
Oribacterium sp. oral taxon 078	40
Lactococcus lactis	37
Streptococcus phocae	33
Ruminococcus flavefaciens	31
Bifidobacterium choerinum	23
Clostridium sordellii	22
Bacteroides thetaiotaomicron	22
Sarcina ventriculi	21
Bacteroides barnesiae	19
Clostridium hylemonae	17
Ruminococcus albus	16
Bacteroides cellulosolvens	16
Selenomonas ruminantium	16
Lachnospiraceae bacterium 14-2	15
Actinomyces naeslundii	14
Lactobacillus sanfranciscensis	14
Bifidobacterium animalis	14
Veillonella dispar	10
Veillonella atypica	9
Clostridium glycolicum	9
Pasteurella multocida	8
Clostridium ramosum	8
uncultured Firmicutes bacterium	7
Eubacterium ruminantium	7
Bacteroides massiliensis	7
Abiotrophia para-adiacens	5
uncultured Streptococcus sp.	5
Clostridium difficile	5
Eubacterium saburreum	5
Lactobacillus helveticus	5
Enterococcus faecalis	5
butyrate-producing bacterium ART55/1	4
Ethanoligenens harbinense	4
Streptococcus pyogenes	4
Clostridium indolis	4
Eubacterium acidaminophilum	4
Bifidobacterium longum	3
Prevotella loescheii	3
Streptococcus agalactiae	3
Lactobacillus fermentum	2
Bifidobacterium pullorum	2
uncultured gamma proteobacterium	2
Eubacterium oxidoreducens	2
Eggerthella lenta	2
Clostridium tertium	2
Clostridium bifermentans	2
Actinomyces odontolyticus	2
Gemella sanguinis	2
Anaerostipes caccae	1
Enterococcus gallinarum	1
Glechoma hederacea	1
Bacteroides plebeius	1
Desulfotomaculum acetoxidans	1
Parabacteroides johnsonii	1
Alkaliphilus transvaalensis	1
Barnesiella intestinihominis	1
Caloramator fervidus	1
Streptococcus ferus	1
Rothia dentocariosa	1
Bifidobacterium dentium	1
Hespellia stercorisuis	1
Prevotella ruminicola	1
uncultured delta proteobacterium	1
Pediococcus ethanolidurans	1
Sphingobacterium multivorum	1
Bifidobacterium thermacidophilum	1
Streptococcus salivarius	1
Erysipelothrix rhusiopathiae	1
Prevotella copri	1
Lactobacillus vitulinus	1
Streptococcus infantarius	1
Clostridium septicum	1
Lactobacillus casei	1
Laceyella sacchari	1
