Bacteroides vulgatus	32473
Bacteroides uniformis	13440
Bacteroides massiliensis	8718
Bacteroides stercoris	8016
Alistipes finegoldii	2982
Faecalibacterium prausnitzii	2688
Bacteroides thetaiotaomicron	2112
Blautia sp. Ser8	1977
Eubacterium rectale	1655
Bacteroides acidifaciens	1438
Lachnospiraceae bacterium A4	1153
Butyricimonas virosa	928
Butyrivibrio fibrisolvens	882
uncultured bacterium	867
Acidaminococcus fermentans	840
Bacteroides xylanisolvens	698
Clostridium clostridioforme	503
Clostridium polysaccharolyticum	451
Bacteroides caccae	424
Barnesiella intestinihominis	407
Bacteroides ovatus	353
butyrate-producing bacterium SSC/2	267
Parabacteroides distasonis	193
butyrate-producing bacterium SS3/4	178
butyrate-producing bacterium SM4/1	170
Clostridium cocleatum	168
Eubacterium limosum	167
Eubacterium cellulosolvens	165
Bacteroides nordii	138
Eubacterium oxidoreducens	137
Parabacteroides johnsonii	135
butyrate-producing bacterium A2-232	117
Bacteroides sp.	106
Clostridium scindens	101
Megamonas hypermegale	101
Eubacterium acidaminophilum	93
Ruminococcus gnavus	66
Clostridium lituseburense	65
Anaerobranca gottschalkii	56
Bacteroides salyersiae	48
Selenomonas ruminantium	42
uncultured gamma proteobacterium	35
Bacteroides cellulosolvens	27
Dialister pneumosintes	26
Lachnospiraceae bacterium 14-2	24
Eubacterium ruminantium	23
Bacteroides helcogenes	22
Veillonella dispar	20
Clostridium bolteae	19
Barnesiella viscericola	16
Veillonella atypica	14
Bifidobacterium breve	12
Veillonella ratti	12
Clostridium cellobioparum	11
Eubacterium saburreum	11
Clostridium sphenoides	10
Ethanoligenens harbinense	9
Dialister invisus	8
Clostridium hathewayi	8
Clostridium hylemonae	7
Streptococcus phocae	6
Lactococcus lactis	6
Bacteroides oleiciplenus	5
Clostridium difficile	5
Ruminococcus bromii	5
Pasteurella multocida	4
Gemella haemolysans	4
rumen bacterium NK3B85	4
Desulfotomaculum thermocisternum	4
Clostridium spiroforme	3
Ruminococcus sp. 18P13	3
Streptococcus suis	3
Collinsella aerofaciens	3
Clostridium bifermentans	3
Clostridium butyricum	3
Akkermansia muciniphila	3
Bacteroides tectus	2
Alkaliphilus transvaalensis	2
butyrate-producing bacterium ART55/1	2
Clostridium xylanolyticum	2
Hespellia stercorisuis	2
Erysipelothrix rhusiopathiae	2
Bacteroides clarus	2
Lactobacillus casei	2
Ureibacillus thermosphaericus	2
Lactobacillus rhamnosus	1
Glechoma hederacea	1
Bacteroides gallinarum	1
Ruminococcus albus	1
uncultured Streptococcus sp.	1
Rothia dentocariosa	1
Eggerthella lenta	1
Sarcina ventriculi	1
Enterococcus casseliflavus	1
Clostridium chauvoei	1
Laceyella sacchari	1
