Bacteroides vulgatus	14022
Bacteroides uniformis	3183
uncultured bacterium	2417
Fusobacterium necrophorum	2342
Barnesiella intestinihominis	2060
Bacteroides ovatus	1354
Bacteroides thetaiotaomicron	1260
Alistipes finegoldii	1146
Blautia sp. Ser8	1026
Megamonas hypermegale	922
Clostridium cocleatum	899
butyrate-producing bacterium SM4/1	846
Ruminococcus gnavus	774
Faecalibacterium prausnitzii	746
Parabacteroides distasonis	715
Parabacteroides merdae	642
Dialister invisus	452
Bacteroides fragilis	418
butyrate-producing bacterium A2-232	249
Akkermansia muciniphila	248
Clostridium polysaccharolyticum	222
Clostridium spiroforme	188
Butyrivibrio fibrisolvens	181
Clostridium bolteae	153
Lachnospiraceae bacterium A4	151
Hespellia stercorisuis	150
Clostridium scindens	137
Clostridium hylemonae	134
Eubacterium limosum	128
Bacteroides acidifaciens	119
butyrate-producing bacterium SS3/4	113
Bacteroides sp.	67
Ruminococcus flavefaciens	56
Desulfovibrio dechloracetivorans	35
Collinsella aerofaciens	35
Dialister micraerophilus	26
Clostridium sphenoides	24
Eubacterium oxidoreducens	22
Eubacterium ruminantium	19
Bacteroides nordii	19
Lactobacillus sakei	19
Ruminococcus bromii	19
Ethanoligenens harbinense	18
Eggerthella lenta	16
Veillonella atypica	14
Enterococcus cecorum	10
Bacteroides cellulosolvens	9
Hespellia porcina	8
Selenomonas ruminantium	8
Eubacterium rectale	7
Clostridium xylanolyticum	6
Lactobacillus casei	6
Prevotella copri	5
Streptococcus suis	5
Barnesiella viscericola	4
Clostridium lituseburense	4
Clostridium clostridioforme	4
Anaerostipes caccae	3
Streptococcus salivarius	3
Lactobacillus vitulinus	3
butyrate-producing bacterium SSC/2	3
Bacteroides massiliensis	3
Clostridium sordellii	2
Streptococcus phocae	2
Bacteroides helcogenes	2
butyrate-producing bacterium ART55/1	2
Eubacterium cellulosolvens	2
Eubacterium saburreum	2
Daucus carota	2
uncultured delta proteobacterium	2
Prevotella ruminicola	2
Bacteroides intestinalis	2
Lactococcus lactis	2
Paraprevotella clara	1
uncultured beta proteobacterium	1
Bacteroides tectus	1
Festuca ovina	1
Bacteroides gallinarum	1
Streptococcus mitis	1
Salmonella enterica	1
Bifidobacterium breve	1
Ruminococcus albus	1
Pseudomonas sp. SK-1-3-4	1
Porphyromonas uenonis	1
Sphingobacterium multivorum	1
Erysipelothrix rhusiopathiae	1
Clostridium longisporum	1
butyrate-producing bacterium SL7/1	1
Bacteroides xylanisolvens	1
Lactobacillus plantarum	1
Veillonella ratti	1
Pediococcus pentosaceus	1
Staphylococcus cohnii	1
Desulfovibrio halophilus	1
Veillonella dispar	1
Clostridium glycolicum	1
