Faecalibacterium prausnitzii	9526
Bacteroides vulgatus	6685
Eubacterium rectale	4669
butyrate-producing bacterium SSC/2	4571
Clostridium cocleatum	4519
Bifidobacterium breve	3266
Blautia sp. Ser8	3192
Bacteroides massiliensis	2244
uncultured bacterium	2135
Bacteroides ovatus	1486
Butyrivibrio fibrisolvens	1002
Bacteroides stercoris	894
Clostridium clostridioforme	756
Bacteroides uniformis	542
Clostridium polysaccharolyticum	425
Lachnospiraceae bacterium A4	359
butyrate-producing bacterium A2-232	281
Collinsella aerofaciens	272
Clostridium scindens	249
butyrate-producing bacterium SM4/1	202
Clostridium chauvoei	170
Clostridium lituseburense	155
Ruminococcus bromii	122
butyrate-producing bacterium SS3/4	113
Bifidobacterium catenulatum	110
Hespellia stercorisuis	102
Bacteroides caccae	102
Bacteroides acidifaciens	99
Bacteroides xylanisolvens	95
Eubacterium limosum	94
Eubacterium oxidoreducens	89
Ruminococcus gnavus	87
Acidaminococcus fermentans	83
Eubacterium cellulosolvens	78
Bacteroides thetaiotaomicron	78
Alistipes finegoldii	69
Prevotella copri	69
Oribacterium sp. oral taxon 078	67
Clostridium hylemonae	64
Selenomonas ruminantium	61
Clostridium spiroforme	50
Sarcina ventriculi	47
Pasteurella multocida	46
Veillonella dispar	34
Parabacteroides distasonis	32
Parabacteroides merdae	32
Bifidobacterium adolescentis	32
Acetobacterium carbinolicum	29
Bifidobacterium choerinum	26
Veillonella atypica	22
Clostridium sphenoides	20
Actinobacillus rossii	18
Prevotella oralis	16
Pseudobutyrivibrio xylanivorans	16
Clostridium sordellii	15
uncultured Streptococcus sp.	15
Streptococcus phocae	14
Clostridium bolteae	14
Butyrivibrio hungatei	9
Clostridium difficile	8
Prevotella ruminicola	6
Bacteroides salyersiae	5
Enterococcus durans	5
Clostridium xylanolyticum	5
Bifidobacterium longum	5
Bacteroides cellulosolvens	5
Barnesiella intestinihominis	4
Streptococcus anginosus	4
Akkermansia muciniphila	4
Bacteroides plebeius	3
Ruminococcus albus	3
Dialister invisus	3
Eggerthella lenta	3
Clostridium indolis	3
Veillonella ratti	3
Clostridium glycolicum	3
Ruminococcus flavefaciens	2
Actinomyces naeslundii	2
Salmonella enterica	2
butyrate-producing bacterium ART55/1	2
Rothia dentocariosa	2
Ethanoligenens harbinense	2
Eubacterium ruminantium	2
Streptococcus pyogenes	2
Lactobacillus intestinalis	2
Actinomyces odontolyticus	2
Lactobacillus vitulinus	2
Clostridium hathewayi	2
Enterococcus faecium	2
Prevotella corporis	2
Bifidobacterium minimum	1
Ruminococcus sp. 18P13	1
Anaerostipes caccae	1
uncultured gamma proteobacterium	1
Peptoniphilus lacrimalis	1
Clostridium ramosum	1
Streptococcus minor	1
Granulicatella adiacens	1
Lactobacillus acidophilus	1
Butyricimonas virosa	1
Rothia mucilaginosa	1
Eubacterium saburreum	1
Ruminococcus callidus	1
Clostridium stercorarium	1
Clostridium septicum	1
Streptococcus mutans	1
Leptotrichia shahii	1
Clostridium butyricum	1
Clostridium bifermentans	1
Megamonas hypermegale	1
