Bacteroides uniformis	35723
Bacteroides vulgatus	19871
Bacteroides massiliensis	11534
Bacteroides acidifaciens	8564
Eubacterium rectale	7523
Faecalibacterium prausnitzii	4456
Barnesiella intestinihominis	3216
Bacteroides xylanisolvens	2563
Blautia sp. Ser8	2081
uncultured bacterium	1856
Lachnospiraceae bacterium A4	1618
Dialister invisus	1440
Butyrivibrio fibrisolvens	1236
butyrate-producing bacterium A2-232	662
butyrate-producing bacterium SS3/4	358
Alistipes finegoldii	345
Clostridium scindens	258
butyrate-producing bacterium SM4/1	180
Clostridium polysaccharolyticum	153
Eubacterium cellulosolvens	149
Megamonas hypermegale	140
Clostridium clostridioforme	100
Pseudobutyrivibrio xylanivorans	79
Ruminococcus flavefaciens	72
Eubacterium limosum	67
Clostridium cocleatum	62
butyrate-producing bacterium ART55/1	61
Hespellia stercorisuis	59
butyrate-producing bacterium SSC/2	59
Bacteroides sp.	50
Bacteroides cellulosolvens	49
Clostridium hathewayi	44
Ruminococcus albus	43
Hespellia porcina	42
Prevotella copri	39
Clostridium hylemonae	39
Clostridium bolteae	38
Ruminococcus gnavus	38
Eubacterium oxidoreducens	34
Ruminococcus bromii	31
Selenomonas ruminantium	26
Eubacterium ruminantium	24
Dialister micraerophilus	22
Veillonella atypica	19
Clostridium spiroforme	14
rumen bacterium NK3B85	14
Bacteroides thetaiotaomicron	12
Bacteroides ovatus	11
Eubacterium saburreum	10
Bacteroides clarus	10
Clostridium sphenoides	10
Bacteroides caccae	9
Eubacterium acidaminophilum	9
Anaerobranca gottschalkii	5
Caloramator fervidus	5
butyrate-producing bacterium SL7/1	5
Bacteroides stercoris	5
Bacteroides helcogenes	4
Peptococcus niger	4
Clostridium cellobioparum	4
Ethanoligenens harbinense	4
Sphingobacterium multivorum	4
Veillonella dispar	4
Parabacteroides gordonii	3
Paraprevotella clara	3
Thermaerobacter marianensis	3
Prevotella nanceiensis	3
Acetobacterium carbinolicum	3
Clostridium indolis	3
Laceyella sacchari	3
uncultured delta proteobacterium	2
Sarcina ventriculi	2
Clostridium sordellii	1
Desulfotomaculum acetoxidans	1
Pasteurella multocida	1
uncultured gamma proteobacterium	1
Bacteroides gallinarum	1
Bifidobacterium breve	1
Parabacteroides distasonis	1
Clostridium ramosum	1
Alkaliphilus transvaalensis	1
Clostridium xylanolyticum	1
Desulfovibrio dechloracetivorans	1
Butyricimonas virosa	1
Rothia dentocariosa	1
Parabacteroides merdae	1
Streptococcus pyogenes	1
Lachnospiraceae bacterium 14-2	1
Megasphaera elsdenii	1
Clostridium glycolicum	1
