Bacteroides vulgatus	12367
Faecalibacterium prausnitzii	8233
Bacteroides uniformis	7024
Bacteroides stercoris	5097
Bacteroides massiliensis	3569
uncultured bacterium	3141
Blautia sp. Ser8	1952
Butyricimonas virosa	1887
Lachnospiraceae bacterium A4	1859
Eubacterium rectale	1802
Alistipes finegoldii	1711
Bacteroides acidifaciens	1603
Bacteroides thetaiotaomicron	1580
Bacteroides caccae	1301
Bacteroides xylanisolvens	765
Butyrivibrio fibrisolvens	719
Clostridium cocleatum	702
butyrate-producing bacterium SSC/2	495
Barnesiella intestinihominis	473
Clostridium clostridioforme	472
Clostridium polysaccharolyticum	457
Acidaminococcus fermentans	436
butyrate-producing bacterium SM4/1	390
Bacteroides ovatus	336
butyrate-producing bacterium A2-232	304
Bacteroides sp.	293
Prevotella copri	281
Eubacterium oxidoreducens	247
Parabacteroides johnsonii	215
Parabacteroides distasonis	206
Pseudobutyrivibrio xylanivorans	166
Eubacterium acidaminophilum	164
butyrate-producing bacterium SS3/4	147
Eubacterium cellulosolvens	129
Eubacterium limosum	121
Clostridium scindens	87
Megamonas hypermegale	82
Bacteroides salyersiae	80
Ruminococcus gnavus	74
Lachnospiraceae bacterium 14-2	71
Bacteroides cellulosolvens	68
Prevotella loescheii	63
Bifidobacterium breve	60
Clostridium bolteae	56
Veillonella ratti	56
Selenomonas ruminantium	52
Dialister pneumosintes	50
Bacteroides fragilis	49
Hespellia porcina	46
Veillonella atypica	40
Anaerobranca gottschalkii	39
Eubacterium saburreum	33
Ruminococcus bromii	31
Porphyromonas uenonis	27
Veillonella dispar	24
Clostridium sphenoides	20
Ruminococcus flavefaciens	17
Dialister invisus	17
Prevotella bivia	17
Clostridium lituseburense	17
rumen bacterium NK3B85	15
Clostridium cellobioparum	14
Clostridium spiroforme	13
Collinsella aerofaciens	13
butyrate-producing bacterium ART55/1	12
Clostridium hathewayi	11
Hespellia stercorisuis	10
Bacteroides helcogenes	8
Barnesiella viscericola	8
Clostridium hylemonae	8
Ethanoligenens harbinense	8
uncultured gamma proteobacterium	7
Glechoma hederacea	6
Prevotella buccalis	6
Bacteroides nordii	6
Streptococcus phocae	5
Lactobacillus vitulinus	5
Alkaliphilus transvaalensis	4
Clostridium xylanolyticum	4
Mobiluncus curtisii	4
Eubacterium ruminantium	4
Clostridium indolis	4
Lactococcus lactis	4
Parabacteroides gordonii	3
Lactobacillus rhamnosus	3
Enterococcus durans	3
Ruminococcus albus	3
Butyricimonas synergistica	3
Peptoniphilus asaccharolyticus	3
uncultured delta proteobacterium	3
Prevotella ruminicola	3
Dialister micraerophilus	3
Veillonella criceti	3
Akkermansia muciniphila	3
Paraprevotella clara	2
Clostridium sordellii	2
Prevotella salivae	2
Bifidobacterium bifidum	2
Aerococcus sanguinicola	2
Bacteroides gallinarum	2
Mitsuokella multacida	2
uncultured Streptococcus sp.	2
Finegoldia magna	2
Enterococcus casseliflavus	2
Oribacterium sp. oral taxon 078	2
Megasphaera elsdenii	2
Dialister propionicifaciens	2
Bifidobacterium gallinarum	2
Desulfotomaculum thermocisternum	2
uncultured alpha proteobacterium	1
uncultured beta proteobacterium	1
Pasteurella multocida	1
Aeriscardovia aeriphila	1
Clostridium botulinum	1
Bifidobacterium choerinum	1
Brachybacterium paraconglomeratum	1
Methylothermus thermalis	1
Clostridium thermocellum	1
Corallococcus coralloides	1
Prevotella nanceiensis	1
Clostridium difficile	1
Peptoniphilus harei	1
Ruminococcus callidus	1
Acetobacterium carbinolicum	1
Clostridium baratii	1
Vibrio casei	1
Peptoniphilus lacrimalis	1
Streptococcus salivarius	1
Erysipelothrix rhusiopathiae	1
uncultured Porphyromonas sp.	1
Parabacteroides goldsteinii	1
Enterococcus faecium	1
Clostridium stercorarium	1
Staphylococcus cohnii	1
Porphyromonas endodontalis	1
Ruminococcus sp. 18P13	1
Porphyromonas levii	1
