Bacteroides vulgatus	3095
Faecalibacterium prausnitzii	2478
Sarcina ventriculi	1506
Bacteroides massiliensis	811
Blautia sp. Ser8	602
Butyrivibrio fibrisolvens	538
Clostridium polysaccharolyticum	379
Eubacterium rectale	371
butyrate-producing bacterium A2-232	213
butyrate-producing bacterium SSC/2	207
Clostridium chauvoei	182
Bacteroides uniformis	181
Pasteurella multocida	174
Bacteroides stercoris	164
butyrate-producing bacterium SM4/1	161
uncultured bacterium	132
Bacteroides ovatus	101
Clostridium lituseburense	89
Bifidobacterium breve	80
butyrate-producing bacterium SS3/4	56
Ruminococcus gnavus	55
Clostridium clostridioforme	43
Acidaminococcus fermentans	40
Parabacteroides merdae	39
Veillonella ratti	38
Eubacterium limosum	38
Collinsella aerofaciens	38
Clostridium scindens	29
Lachnospiraceae bacterium A4	27
Oribacterium sp. oral taxon 078	26
Clostridium ramosum	18
Clostridium difficile	18
Pseudobutyrivibrio xylanivorans	11
Clostridium spiroforme	10
Parabacteroides distasonis	9
Eubacterium saburreum	9
Eubacterium oxidoreducens	8
Clostridium cocleatum	7
Alistipes finegoldii	7
Eubacterium cellulosolvens	7
Clostridium xylanolyticum	7
Actinobacillus rossii	6
Bacteroides caccae	5
Ruminococcus bromii	4
Clostridium tertium	4
Prevotella corporis	3
Bifidobacterium catenulatum	3
Bacteroides cellulosolvens	3
Hespellia porcina	2
Clostridium septicum	2
Clostridium celatum	2
Megamonas hypermegale	2
Veillonella atypica	2
Actinomyces odontolyticus	1
Bacteroides xylanisolvens	1
Actinomyces sp. oral taxon 848	1
Gallibacterium group V	1
Peptostreptococcus anaerobius	1
Haemophilus haemolyticus	1
Prevotella copri	1
Ruminococcus albus	1
Clostridium perfringens	1
Aeriscardovia aeriphila	1
uncultured gamma proteobacterium	1
Prevotella loescheii	1
Porphyromonas catoniae	1
Streptococcus suis	1
Hespellia stercorisuis	1
Barnesiella intestinihominis	1
Porphyromonas levii	1
Clostridium sphenoides	1
Veillonella dispar	1
Akkermansia muciniphila	1
Bacteroides thetaiotaomicron	1
Selenomonas ruminantium	1
Streptococcus phocae	1
Clostridium bolteae	1
