Bacteroides vulgatus	4401
Bacteroides uniformis	3523
Lachnospiraceae bacterium A4	2202
Faecalibacterium prausnitzii	1815
uncultured bacterium	1677
Bacteroides massiliensis	1140
Bacteroides caccae	895
Alistipes finegoldii	638
Eubacterium rectale	607
Eubacterium limosum	555
Blautia sp. Ser8	524
Ruminococcus bromii	317
Bacteroides cellulosolvens	283
Clostridium cocleatum	276
Bacteroides acidifaciens	230
Barnesiella intestinihominis	222
Parabacteroides merdae	189
Paraprevotella xylaniphila	178
Clostridium polysaccharolyticum	166
Clostridium clostridioforme	133
Parabacteroides distasonis	125
Clostridium stercorarium	114
butyrate-producing bacterium ART55/1	109
butyrate-producing bacterium SSC/2	104
butyrate-producing bacterium SM4/1	102
Acidaminococcus fermentans	98
Butyricimonas virosa	98
Butyrivibrio fibrisolvens	94
Eubacterium acidaminophilum	89
Clostridium scindens	85
Bacteroides thetaiotaomicron	78
Lactobacillus sanfranciscensis	72
Ruminococcus flavefaciens	50
Geodermatophilus obscurus	48
Eubacterium ruminantium	48
Bacteroides sp.	46
Bacteroides nordii	44
Anaerobranca gottschalkii	43
Selenomonas ruminantium	43
Nerium oleander	41
Corynebacterium mycetoides	38
uncultured Streptococcus sp.	37
Streptococcus mitis	37
Peptoniphilus asaccharolyticus	34
Megamonas hypermegale	31
unidentified	28
butyrate-producing bacterium SS3/4	27
Ureibacillus thermosphaericus	25
Collinsella aerofaciens	23
Dietzia kunjamensis	23
Lactobacillus casei	22
Opitutus terrae	19
Thermoleophilum album	19
Pirellula staleyi	18
Bifidobacterium breve	18
butyrate-producing bacterium A2-232	13
Micrococcus luteus	11
Thermoanaerobacter brockii	6
Clostridium sordellii	4
Veillonella ratti	3
Clostridium hathewayi	3
Nocardioides aromaticivorans	3
Eggerthella lenta	2
Pedobacter sp. MJ11	2
Pasteurella multocida	1
Prevotella buccalis	1
Bacteroides helcogenes	1
Bacteroides xylanisolvens	1
Porphyromonas catoniae	1
Bacteroides ovatus	1
Acetobacterium carbinolicum	1
Rhodopseudomonas palustris	1
Ruminococcus gnavus	1
