Bacteroides uniformis	18040
Faecalibacterium prausnitzii	17673
Bacteroides vulgatus	12530
Bacteroides massiliensis	9169
Blautia sp. Ser8	9117
Barnesiella intestinihominis	4095
Bacteroides acidifaciens	3765
Eubacterium rectale	2512
Clostridium cocleatum	2345
Lachnospiraceae bacterium A4	2079
uncultured bacterium	1900
Clostridium polysaccharolyticum	786
Butyrivibrio fibrisolvens	781
Clostridium scindens	751
Clostridium clostridioforme	680
Clostridium spiroforme	623
butyrate-producing bacterium SSC/2	559
butyrate-producing bacterium SM4/1	541
Bacteroides xylanisolvens	491
butyrate-producing bacterium A2-232	467
butyrate-producing bacterium SS3/4	467
Alistipes finegoldii	339
Dialister invisus	302
Bacteroides stercoris	288
Clostridium hylemonae	258
Eubacterium oxidoreducens	216
Prevotella copri	210
Ruminococcus albus	135
Eubacterium limosum	129
Eubacterium cellulosolvens	118
Eubacterium saburreum	117
Megamonas hypermegale	109
Lachnospiraceae bacterium 14-2	78
Ruminococcus gnavus	72
butyrate-producing bacterium ART55/1	63
Selenomonas ruminantium	57
Ruminococcus flavefaciens	52
Clostridium sphenoides	49
Prevotella loescheii	42
Bacteroides cellulosolvens	42
Hespellia stercorisuis	39
Pseudobutyrivibrio xylanivorans	35
Ruminococcus bromii	34
Hespellia porcina	31
Lactobacillus vitulinus	30
Veillonella ratti	29
Oribacterium sp. oral taxon 078	26
Dialister micraerophilus	23
Bacteroides ovatus	18
Clostridium xylanolyticum	17
Clostridium bolteae	17
Eubacterium ruminantium	16
Clostridium hathewayi	16
Eggerthella lenta	14
Bacteroides sp.	14
Bacteroides helcogenes	13
Sphingobacterium multivorum	13
Paenibacillus mucilaginosus	12
Prevotella ruminicola	10
Bifidobacterium adolescentis	10
Clostridium cellobioparum	9
Akkermansia muciniphila	9
Bacteroides salyersiae	8
Anaerobranca gottschalkii	8
Bifidobacterium breve	8
Veillonella atypica	8
Parabacteroides johnsonii	6
Ethanoligenens harbinense	6
Ureibacillus thermosphaericus	6
Clostridium ramosum	5
Actinomyces naeslundii	4
Parabacteroides distasonis	4
Bacteroides thetaiotaomicron	4
Eubacterium acidaminophilum	4
rumen bacterium NK3B85	4
Bacteroides gallinarum	3
uncultured Streptococcus sp.	3
Butyricimonas virosa	3
Caloramator fervidus	3
Clostridium indolis	3
Acidaminococcus fermentans	3
Parabacteroides gordonii	2
uncultured beta proteobacterium	2
Pasteurella multocida	2
uncultured gamma proteobacterium	2
Collinsella aerofaciens	2
Alkaliphilus transvaalensis	2
Trichococcus pasteurii	2
Parabacteroides merdae	2
Streptococcus phocae	2
Clostridium difficile	2
Erysipelothrix rhusiopathiae	2
Paraprevotella clara	1
Bacteroides plebeius	1
Prevotella salivae	1
Desulfotomaculum acetoxidans	1
Bifidobacterium bifidum	1
Globicatella sulfidifaciens	1
Salmonella enterica	1
Bacteroides oleiciplenus	1
Streptococcus minor	1
Abiotrophia para-adiacens	1
Clostridium tertium	1
Pedobacter sp. MJ11	1
Acetobacterium carbinolicum	1
Sarcina ventriculi	1
Enterococcus faecium	1
Lactobacillus casei	1
Staphylococcus cohnii	1
Megasphaera elsdenii	1
Dialister propionicifaciens	1
Laceyella sacchari	1
Lactococcus lactis	1
