Prevotella copri	3868
Bacteroides caccae	2484
Prevotella albensis	1577
Faecalibacterium prausnitzii	1095
Prevotella ruminicola	707
butyrate-producing bacterium ART55/1	674
uncultured bacterium	557
Eubacterium rectale	539
Blautia sp. Ser8	415
Bifidobacterium breve	338
Lactobacillus vitulinus	285
Haemophilus parahaemolyticus	250
Lachnospiraceae bacterium A4	216
Megasphaera elsdenii	204
Alistipes finegoldii	137
Paraprevotella clara	109
Bacteroides ovatus	104
Dialister pneumosintes	104
Prevotella loescheii	103
Bacteroides cellulosolvens	100
Selenomonas ruminantium	99
Clostridium polysaccharolyticum	81
Prevotella salivae	77
Butyrivibrio fibrisolvens	75
butyrate-producing bacterium A2-232	70
Clostridium scindens	66
Bacteroides xylanisolvens	66
Bacteroides acidifaciens	65
Ruminococcus flavefaciens	64
Butyricimonas virosa	63
Eubacterium limosum	61
Bacteroides vulgatus	58
Bifidobacterium adolescentis	58
Ruminococcus albus	51
butyrate-producing bacterium SM4/1	41
Bacteroides stercoris	31
Clostridium hathewayi	29
Barnesiella intestinihominis	27
Eubacterium ruminantium	27
butyrate-producing bacterium SS3/4	26
Clostridium thermocellum	22
Clostridium tertium	22
Bifidobacterium merycicum	22
Eubacterium acidaminophilum	22
Bacteroides plebeius	21
Ruminococcus callidus	19
Eubacterium cellulosolvens	17
Anaerobranca gottschalkii	17
Bacteroides uniformis	17
Bacteroides sp.	17
Lactobacillus sp.	17
butyrate-producing bacterium SSC/2	16
Clostridium glycolicum	15
Collinsella aerofaciens	14
uncultured gamma proteobacterium	13
Clostridium lituseburense	12
Pasteurella multocida	11
Weissella cibaria	11
Acetobacterium carbinolicum	11
Mitsuokella multacida	10
Ruminococcus bromii	10
Dialister invisus	9
Ethanoligenens harbinense	9
Hespellia stercorisuis	8
Eubacterium oxidoreducens	7
Parabacteroides johnsonii	6
Thermaerobacter marianensis	6
Veillonella atypica	6
Bacteroides thetaiotaomicron	5
Oribacterium sp. oral taxon 078	5
Veillonella dispar	5
Parabacteroides merdae	3
Clostridium clostridioforme	3
Clostridium sordellii	2
Bifidobacterium bifidum	2
Clostridium xylanolyticum	2
Clostridium hylemonae	2
Ruminococcus gnavus	2
Mannheimia haemolytica	2
Bacteroides gallinarum	1
Methanobrevibacter smithii	1
Bifidobacterium catenulatum	1
Leuconostoc fallax	1
Barnesiella viscericola	1
Butyricimonas synergistica	1
Desulfosporosinus meridiei	1
Lactobacillus murinus	1
Clostridium cocleatum	1
Eubacterium saburreum	1
Sarcina ventriculi	1
Pasteurellaceae bacterium Clin29	1
Porphyromonas catoniae	1
Clostridium indolis	1
Prevotella bergensis	1
Megamonas hypermegale	1
Prevotella shahii	1
Bacteroides barnesiae	1
