Bacteroides vulgatus	16039
uncultured bacterium	7871
Barnesiella intestinihominis	2935
Bacteroides sp.	2774
Alistipes finegoldii	2620
Faecalibacterium prausnitzii	1793
Bacteroides caccae	1591
Bacteroides acidifaciens	1078
Paraprevotella clara	908
Parabacteroides merdae	841
Parabacteroides distasonis	835
Blautia sp. Ser8	716
Bacteroides thetaiotaomicron	661
Lachnospiraceae bacterium A4	657
Butyricimonas virosa	597
Bacteroides uniformis	570
Parabacteroides goldsteinii	448
Bacteroides ovatus	370
Butyrivibrio fibrisolvens	326
Bacteroides massiliensis	295
butyrate-producing bacterium SM4/1	285
Megamonas hypermegale	236
Eubacterium limosum	208
Eubacterium cellulosolvens	197
Eubacterium rectale	169
Clostridium polysaccharolyticum	161
Clostridium scindens	155
Bacteroides salyersiae	151
butyrate-producing bacterium A2-232	148
Clostridium cocleatum	131
butyrate-producing bacterium SS3/4	99
Acidaminococcus fermentans	76
Ruminococcus bromii	59
Clostridium clostridioforme	56
Bacteroides nordii	52
Bacteroides cellulosolvens	52
Ruminococcus gnavus	51
Eubacterium saburreum	46
Bacteroides xylanisolvens	40
rumen bacterium NK3B85	39
butyrate-producing bacterium SSC/2	32
uncultured beta proteobacterium	31
Ruminococcus flavefaciens	28
Eubacterium oxidoreducens	27
Clostridium hylemonae	20
Hespellia porcina	18
Oribacterium sp. oral taxon 078	17
Veillonella ratti	16
Clostridium sphenoides	14
Desulfotomaculum thermocisternum	14
Clostridium spiroforme	13
Eubacterium ruminantium	12
Clostridium hathewayi	12
Bacteroides oleiciplenus	11
Alkaliphilus transvaalensis	10
butyrate-producing bacterium ART55/1	10
Clostridium xylanolyticum	10
Hespellia stercorisuis	10
Ruminococcus callidus	9
Selenomonas ruminantium	7
uncultured gamma proteobacterium	6
Ruminococcus albus	6
Clostridium bolteae	5
Veillonella atypica	4
Parabacteroides gordonii	3
Pasteurella multocida	3
Clostridium stercorarium	3
Collinsella aerofaciens	3
uncultured delta proteobacterium	3
Lachnospiraceae bacterium 14-2	3
Eubacterium acidaminophilum	3
Bacteroides tectus	2
Eggerthella lenta	2
Lactobacillus helveticus	2
Caloramator fervidus	2
Anaerostipes caccae	1
Bacteroides gallinarum	1
Bacteroides helcogenes	1
Clostridium cellobioparum	1
Lactobacillus acidophilus	1
Ethanoligenens harbinense	1
Peptoniphilus harei	1
butyrate-producing bacterium SL7/1	1
Bacteroides intestinalis	1
Bacteroides clarus	1
Bifidobacterium adolescentis	1
Clostridium indolis	1
Lactococcus lactis	1
Bacteroides barnesiae	1
Avibacterium gallinarum	1
